cohort,N_total,n_rank_selection,n_inner_train_approx,p,q,true_rank,population_R2,per_direction_variance_share,spectrum,seeds,observed_cohort_R2,observed_cohort_rank,note,median_selected_rank,mean_selected_rank,exact_rank_rate,rank_zero_rate,fraction_true_directions_retained,median_cv_R2,mean_cv_R2
Erawijantari gastric cancer,96,77,62,19,19,2,0.1,0.05,equal,100,0.064,2,,2.0,1.57,0.64,0.12,0.77,0.032257492974852586,0.0353324004566711
Erawijantari gastric cancer,96,77,62,19,19,2,0.2,0.1,equal,100,0.064,2,,2.0,2.02,0.98,0.0,1.0,0.14447458956896458,0.1446418999824895
Erawijantari gastric cancer,96,77,62,19,19,2,0.5,0.25,equal,100,0.064,2,,2.0,2.0,1.0,0.0,1.0,0.4469187889259219,0.4487168210434072
Erawijantari gastric cancer,96,77,62,19,19,10,0.1,0.01,equal,100,0.064,2,,0.0,0.17,0.0,0.86,0.017,0.0,0.0011827493560570147
Erawijantari gastric cancer,96,77,62,19,19,10,0.2,0.02,equal,100,0.064,2,,3.0,3.98,0.04,0.17,0.3930000000000001,0.016456506902281343,0.021611270163141433
Erawijantari gastric cancer,96,77,62,19,19,10,0.5,0.05,equal,100,0.064,2,,10.0,10.39,0.65,0.0,0.9980000000000001,0.36148260765079104,0.3637561572776011
Franzosa IBD,220,176,141,24,24,2,0.1,0.05,equal,100,0.215,5,,2.0,2.0,1.0,0.0,1.0,0.0701332089444513,0.07073529329218185
Franzosa IBD,220,176,141,24,24,2,0.2,0.1,equal,100,0.215,5,,2.0,2.0,1.0,0.0,1.0,0.17792950246870287,0.17541486591208674
Franzosa IBD,220,176,141,24,24,2,0.5,0.25,equal,100,0.215,5,,2.0,2.0,1.0,0.0,1.0,0.48240587247195327,0.48049891357543184
Franzosa IBD,220,176,141,24,24,10,0.1,0.01,equal,100,0.215,5,,0.0,1.17,0.0,0.61,0.11699999999999999,0.0,0.0024421945888439423
Franzosa IBD,220,176,141,24,24,10,0.2,0.02,equal,100,0.215,5,,10.0,9.87,0.64,0.0,0.972,0.09114359008539202,0.09161517550401607
Franzosa IBD,220,176,141,24,24,10,0.5,0.05,equal,100,0.215,5,,10.0,10.03,0.97,0.0,1.0,0.4395444189700441,0.4375392608281643
He infants,277,222,178,24,24,2,0.1,0.05,equal,100,0.091,2,,2.0,2.0,1.0,0.0,1.0,0.0773843894192131,0.07724241932615429
He infants,277,222,178,24,24,2,0.2,0.1,equal,100,0.091,2,,2.0,2.0,1.0,0.0,1.0,0.18063167805507518,0.18094799540304504
He infants,277,222,178,24,24,2,0.5,0.25,equal,100,0.091,2,,2.0,2.0,1.0,0.0,1.0,0.48800351880294723,0.4857333120701936
He infants,277,222,178,24,24,10,0.1,0.01,equal,100,0.091,2,,4.0,4.35,0.06,0.29,0.43300000000000005,0.0042216227079632795,0.006966835188313945
He infants,277,222,178,24,24,10,0.2,0.02,equal,100,0.091,2,,10.0,10.09,0.84,0.0,0.995,0.11024992810041201,0.11239064166035492
He infants,277,222,178,24,24,10,0.5,0.05,equal,100,0.091,2,,10.0,10.0,1.0,0.0,1.0,0.45159879152134863,0.4514411548047984
Jacobs IBD families,90,72,58,18,18,2,0.1,0.05,equal,100,0.112,1,,2.0,1.55,0.59,0.12,0.755,0.028500636433572146,0.03030154630940725
Jacobs IBD families,90,72,58,18,18,2,0.2,0.1,equal,100,0.112,1,,2.0,2.01,0.99,0.0,1.0,0.1397945006578422,0.1394151643934305
Jacobs IBD families,90,72,58,18,18,2,0.5,0.25,equal,100,0.112,1,,2.0,2.04,0.97,0.0,1.0,0.4393173047872065,0.4365429411687765
Jacobs IBD families,90,72,58,18,18,10,0.1,0.01,equal,100,0.112,1,,0.0,0.15,0.0,0.86,0.015,0.0,0.00102685316593782
Jacobs IBD families,90,72,58,18,18,10,0.2,0.02,equal,100,0.112,1,,3.5,4.14,0.06,0.26,0.4059999999999999,0.016548065968910453,0.023319818096000186
Jacobs IBD families,90,72,58,18,18,10,0.5,0.05,equal,100,0.112,1,,10.0,10.52,0.58,0.0,0.9980000000000001,0.36158126403059215,0.3553142379078008
Kang autism,44,35,28,8,8,2,0.1,0.05,equal,100,-0.015,1,,1.0,1.44,0.15,0.33,0.495,0.021690855470824666,0.028053249292068955
Kang autism,44,35,28,8,8,2,0.2,0.1,equal,100,-0.015,1,,2.0,2.09,0.45,0.09,0.795,0.07787557198497425,0.08691226199114908
Kang autism,44,35,28,8,8,2,0.5,0.25,equal,100,-0.015,1,,2.0,2.29,0.82,0.0,1.0,0.3985541281149656,0.39565613884564854
Kang autism,44,35,28,8,8,10,,,equal,0,-0.015,1,true rank exceeds preprocessing feature cap,,,,,,,
Wandro preterms,75,60,48,15,15,2,0.1,0.05,equal,100,0.181,1,,1.0,1.28,0.38,0.21,0.61,0.022007906374133024,0.024778153898146877
Wandro preterms,75,60,48,15,15,2,0.2,0.1,equal,100,0.181,1,,2.0,2.05,0.92,0.0,0.99,0.13271123040672583,0.1344299707600181
Wandro preterms,75,60,48,15,15,2,0.5,0.25,equal,100,0.181,1,,2.0,2.02,0.98,0.0,1.0,0.42732684360783246,0.4308967581114986
Wandro preterms,75,60,48,15,15,10,0.1,0.01,equal,100,0.181,1,,0.0,0.29,0.0,0.8,0.029000000000000005,0.0,0.0015654546507842249
Wandro preterms,75,60,48,15,15,10,0.2,0.02,equal,100,0.181,1,,4.5,5.03,0.04,0.19,0.482,0.017360397173364794,0.025095286093093538
Wandro preterms,75,60,48,15,15,10,0.5,0.05,equal,100,0.181,1,,11.0,10.8,0.43,0.0,0.997,0.35620506488831766,0.35562924052343525
Wang ESRD,287,230,184,24,24,2,0.1,0.05,equal,100,0.096,2,,2.0,2.0,1.0,0.0,1.0,0.07847549779206969,0.07866021400308398
Wang ESRD,287,230,184,24,24,2,0.2,0.1,equal,100,0.096,2,,2.0,2.0,1.0,0.0,1.0,0.18200123421135034,0.18211992508186586
Wang ESRD,287,230,184,24,24,2,0.5,0.25,equal,100,0.096,2,,2.0,2.0,1.0,0.0,1.0,0.4892695645833207,0.489776810450702
Wang ESRD,287,230,184,24,24,10,0.1,0.01,equal,100,0.096,2,,3.0,4.56,0.07,0.23,0.44799999999999995,0.0058215009804202245,0.007883834602226532
Wang ESRD,287,230,184,24,24,10,0.2,0.02,equal,100,0.096,2,,10.0,10.02,0.87,0.0,0.9940000000000001,0.11760914507811487,0.11840507153524736
Wang ESRD,287,230,184,24,24,10,0.5,0.05,equal,100,0.096,2,,10.0,10.0,1.0,0.0,1.0,0.4545600580461163,0.4550923854882479
Yachida CRC,347,278,222,24,24,2,0.1,0.05,equal,100,0.098,2,,2.0,2.0,1.0,0.0,1.0,0.08190150335418928,0.08216297747812666
Yachida CRC,347,278,222,24,24,2,0.2,0.1,equal,100,0.098,2,,2.0,2.0,1.0,0.0,1.0,0.18485813807773321,0.18350006442492903
Yachida CRC,347,278,222,24,24,2,0.5,0.25,equal,100,0.098,2,,2.0,2.0,1.0,0.0,1.0,0.4888249495309273,0.4901805085667899
Yachida CRC,347,278,222,24,24,10,0.1,0.01,equal,100,0.098,2,,9.0,8.75,0.26,0.01,0.8540000000000002,0.020256403161866166,0.020943166703358388
Yachida CRC,347,278,222,24,24,10,0.2,0.02,equal,100,0.098,2,,10.0,10.02,0.96,0.0,0.9990000000000001,0.13425025960082682,0.13333619780543304
Yachida CRC,347,278,222,24,24,10,0.5,0.05,equal,100,0.098,2,,10.0,10.01,0.99,0.0,1.0,0.4595210611188471,0.4601139411112004
