sample_id,flux_cutoff,participation_rank,n_resources
C,1e-06,2.239288303002414,336
C,1e-05,2.2392883281439726,312
C,0.0001,2.239289127274886,244
C,0.001,2.239292484450236,153
E,1e-06,2.684095957487822,331
E,1e-05,2.684095980812093,301
E,0.0001,2.684096518223994,200
E,0.001,2.684100702594498,135
J,1e-06,1.54750740397425,322
J,1e-05,1.5475074416597314,234
J,0.0001,1.547507593796862,159
J,0.001,1.5475077310224554,123
T,1e-06,2.025389532262281,298
T,1e-05,2.0253895541643008,158
T,0.0001,2.0253896430131,132
T,0.001,2.0253897453547407,113
