cohort,N_total,n_rank_selection,n_inner_train_approx,p,q,true_rank,population_R2,per_direction_variance_share,spectrum,seeds,observed_cohort_R2,observed_cohort_rank,median_selected_rank,mean_selected_rank,exact_rank_rate,rank_zero_rate,fraction_true_directions_retained,median_cv_R2,mean_cv_R2
Erawijantari gastric cancer,96,77,62,24,24,2,0.02,0.01,equal,100,0.064,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Erawijantari gastric cancer,96,77,62,24,24,2,0.05,0.025,equal,100,0.064,2,0.0,0.23,0.02,0.79,0.115,0.0,0.0025120631983983786
Erawijantari gastric cancer,96,77,62,24,24,2,0.1,0.05,equal,100,0.064,2,2.0,1.65,0.67,0.06,0.815,0.036110582936717095,0.03603626731110933
Erawijantari gastric cancer,96,77,62,24,24,2,0.15,0.075,equal,100,0.064,2,2.0,1.98,0.98,0.0,0.99,0.0830998204305678,0.0861884403857953
Erawijantari gastric cancer,96,77,62,24,24,2,0.2,0.1,equal,100,0.064,2,2.0,2.0,0.98,0.0,0.995,0.13693952557317085,0.13888622228804676
Erawijantari gastric cancer,96,77,62,24,24,2,0.3,0.15,equal,100,0.064,2,2.0,2.0,1.0,0.0,1.0,0.24159181860798395,0.24437624906060715
Erawijantari gastric cancer,96,77,62,24,24,2,0.5,0.25,equal,100,0.064,2,2.0,2.0,1.0,0.0,1.0,0.4425522501001287,0.4421819195532158
Erawijantari gastric cancer,96,77,62,24,24,10,0.02,0.002,equal,100,0.064,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Erawijantari gastric cancer,96,77,62,24,24,10,0.05,0.005,equal,100,0.064,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Erawijantari gastric cancer,96,77,62,24,24,10,0.1,0.01,equal,100,0.064,2,0.0,0.07,0.0,0.95,0.006999999999999999,0.0,0.00035892113423633966
Erawijantari gastric cancer,96,77,62,24,24,10,0.15,0.015,equal,100,0.064,2,0.0,0.65,0.0,0.63,0.065,0.0,0.0038966238330555626
Erawijantari gastric cancer,96,77,62,24,24,10,0.2,0.02,equal,100,0.064,2,1.0,2.15,0.0,0.39,0.215,0.007845137738968277,0.013393438452845295
Erawijantari gastric cancer,96,77,62,24,24,10,0.3,0.03,equal,100,0.064,2,9.0,8.62,0.25,0.0,0.851,0.08961679460434874,0.09074179755957724
Erawijantari gastric cancer,96,77,62,24,24,10,0.5,0.05,equal,100,0.064,2,10.0,10.28,0.79,0.0,1.0,0.34655473596710756,0.34753962742567096
Franzosa IBD,220,176,141,24,24,2,0.02,0.01,equal,100,0.215,5,0.0,0.14,0.01,0.87,0.07,0.0,0.000410772111398231
Franzosa IBD,220,176,141,24,24,2,0.05,0.025,equal,100,0.215,5,2.0,1.62,0.69,0.07,0.81,0.017096329586394066,0.017189898137898688
Franzosa IBD,220,176,141,24,24,2,0.1,0.05,equal,100,0.215,5,2.0,2.0,1.0,0.0,1.0,0.06881334529121452,0.07158665255557269
Franzosa IBD,220,176,141,24,24,2,0.15,0.075,equal,100,0.215,5,2.0,2.0,1.0,0.0,1.0,0.12534160985003173,0.12392688026434075
Franzosa IBD,220,176,141,24,24,2,0.2,0.1,equal,100,0.215,5,2.0,2.0,1.0,0.0,1.0,0.17446756641630573,0.17329407458456333
Franzosa IBD,220,176,141,24,24,2,0.3,0.15,equal,100,0.215,5,2.0,2.0,1.0,0.0,1.0,0.27955266829151304,0.27978316064673003
Franzosa IBD,220,176,141,24,24,2,0.5,0.25,equal,100,0.215,5,2.0,2.0,1.0,0.0,1.0,0.48357269789883117,0.4827452748325131
Franzosa IBD,220,176,141,24,24,10,0.02,0.002,equal,100,0.215,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Franzosa IBD,220,176,141,24,24,10,0.05,0.005,equal,100,0.215,5,0.0,0.01,0.0,0.99,0.001,0.0,1.5614239092966996e-05
Franzosa IBD,220,176,141,24,24,10,0.1,0.01,equal,100,0.215,5,0.0,0.98,0.0,0.69,0.098,0.0,0.002302930541228727
Franzosa IBD,220,176,141,24,24,10,0.15,0.015,equal,100,0.215,5,9.0,8.48,0.27,0.0,0.8280000000000001,0.029898654046431217,0.031152518098498047
Franzosa IBD,220,176,141,24,24,10,0.2,0.02,equal,100,0.215,5,10.0,9.84,0.67,0.0,0.9710000000000001,0.08959449486237586,0.09032711176693517
Franzosa IBD,220,176,141,24,24,10,0.3,0.03,equal,100,0.215,5,10.0,10.06,0.94,0.0,1.0,0.20904233595580995,0.20906667958337682
Franzosa IBD,220,176,141,24,24,10,0.5,0.05,equal,100,0.215,5,10.0,10.01,0.99,0.0,1.0,0.43767348524162697,0.4369449624204175
He infants,277,222,178,24,24,2,0.02,0.01,equal,100,0.091,2,0.0,0.24,0.04,0.8,0.12,0.0,0.0005230801084949932
He infants,277,222,178,24,24,2,0.05,0.025,equal,100,0.091,2,2.0,1.97,0.95,0.0,0.98,0.024722876676821826,0.02405587314334123
He infants,277,222,178,24,24,2,0.1,0.05,equal,100,0.091,2,2.0,2.0,1.0,0.0,1.0,0.07731819622669067,0.0774323122616227
He infants,277,222,178,24,24,2,0.15,0.075,equal,100,0.091,2,2.0,2.0,1.0,0.0,1.0,0.128308032748275,0.13031424715420056
He infants,277,222,178,24,24,2,0.2,0.1,equal,100,0.091,2,2.0,2.0,1.0,0.0,1.0,0.1840580174027272,0.18296733482384944
He infants,277,222,178,24,24,2,0.3,0.15,equal,100,0.091,2,2.0,2.0,1.0,0.0,1.0,0.27983430961175565,0.28011570607811787
He infants,277,222,178,24,24,2,0.5,0.25,equal,100,0.091,2,2.0,2.0,1.0,0.0,1.0,0.48287406541006644,0.4840042726337416
He infants,277,222,178,24,24,10,0.02,0.002,equal,100,0.091,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0
He infants,277,222,178,24,24,10,0.05,0.005,equal,100,0.091,2,0.0,0.07,0.0,0.93,0.006999999999999999,0.0,0.00012516125253726916
He infants,277,222,178,24,24,10,0.1,0.01,equal,100,0.091,2,4.0,4.01,0.05,0.27,0.4,0.004736611706154414,0.007720656119986209
He infants,277,222,178,24,24,10,0.15,0.015,equal,100,0.091,2,10.0,9.81,0.58,0.0,0.9610000000000001,0.05729139301743297,0.056400909870568026
He infants,277,222,178,24,24,10,0.2,0.02,equal,100,0.091,2,10.0,10.07,0.82,0.0,0.9930000000000001,0.11452909842787601,0.11524645935306933
He infants,277,222,178,24,24,10,0.3,0.03,equal,100,0.091,2,10.0,10.02,0.98,0.0,1.0,0.23200346748684908,0.23250561737023484
He infants,277,222,178,24,24,10,0.5,0.05,equal,100,0.091,2,10.0,10.03,0.97,0.0,1.0,0.4538465519519095,0.4524648229177199
