size_label,n_rank_selection,n_inner_train_approx,p,q,true_rank,population_R2,per_direction_variance_share_equal,spectrum,seeds,median_selected_rank,mean_selected_rank,exact_rank_rate,rank_zero_rate,fraction_true_directions_retained,median_cv_R2,mean_cv_R2
Franzosa-sized,176,141,24,24,10,0.02,0.002,equal,100,0.0,0.01,0.0,0.99,0.001,0.0,2.6298663058921257e-06
Franzosa-sized,176,141,24,24,10,0.05,0.005,equal,100,0.0,0.01,0.0,0.99,0.001,0.0,2.704206648305174e-05
Franzosa-sized,176,141,24,24,10,0.1,0.01,equal,100,0.0,0.72,0.0,0.7,0.07200000000000001,0.0,0.002010725392419148
Franzosa-sized,176,141,24,24,10,0.15,0.015,equal,100,9.0,8.69,0.28,0.01,0.8510000000000001,0.033051371622394465,0.03489942935247843
Franzosa-sized,176,141,24,24,10,0.2,0.02,equal,100,10.0,9.75,0.59,0.0,0.9620000000000002,0.09298519537759631,0.09262963488399284
Franzosa-sized,176,141,24,24,10,0.3,0.03,equal,100,10.0,10.05,0.95,0.0,0.9990000000000001,0.21065756106597033,0.20983532394040527
Franzosa-sized,176,141,24,24,10,0.5,0.05,equal,100,10.0,10.0,1.0,0.0,1.0,0.4347250357525457,0.4353479544112409
Franzosa-sized,176,141,24,24,10,0.02,0.002,geometric,100,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Franzosa-sized,176,141,24,24,10,0.05,0.005,geometric,100,0.0,0.27,0.0,0.76,0.027000000000000007,0.0,0.001293601012758081
Franzosa-sized,176,141,24,24,10,0.1,0.01,geometric,100,2.0,2.29,0.0,0.04,0.22899999999999998,0.022561259855173932,0.022105346558533842
Franzosa-sized,176,141,24,24,10,0.15,0.015,geometric,100,4.0,4.05,0.0,0.0,0.4049999999999999,0.06172579800490707,0.061438315524624726
Franzosa-sized,176,141,24,24,10,0.2,0.02,geometric,100,5.0,5.47,0.0,0.0,0.5469999999999999,0.10895937247786841,0.10809509071242682
Franzosa-sized,176,141,24,24,10,0.3,0.03,geometric,100,7.0,7.1,0.02,0.0,0.7100000000000002,0.21135715620658463,0.2127376635100168
Franzosa-sized,176,141,24,24,10,0.5,0.05,geometric,100,10.0,9.48,0.46,0.0,0.9430000000000001,0.43509382570277927,0.4333258889636433
